focus_area,cluster,umap_x,umap_y,specialty
familial visceral myopathy with external ophthalmoplegia,10,2.4275548,5.252238,Pediatrics & Developmental Disorders
hypoaldosteronism,8,5.997344,0.30597585,General Medicine & Common Conditions
chromosome 4p deletion,12,1.9459589,2.7928178,Immunology & Hematology
pfeiffer mayer syndrome,10,1.5234392,4.568617,Pediatrics & Developmental Disorders
"heart-hand syndrome, slovenian type",9,6.1763887,7.941331,Genetic & Rare Diseases
chromoblastomycosis,2,2.5233884,7.566778,Neurology & Neuromuscular Disorders
"acromegaloid changes, cutis verticis gyrata and corneal leukoma",12,3.4293957,0.81216884,Immunology & Hematology
gm1 gangliosidosis type 3,2,3.3746789,7.5398736,Neurology & Neuromuscular Disorders
pachyonychia congenita,5,4.587103,5.387808,Nephrology & Rheumatology
clear cell renal cell carcinoma,1,4.9980702,1.0882348,Genetic & Rare Diseases
arthrogryposis renal dysfunction cholestasis syndrome,2,2.7032676,7.6405687,Neurology & Neuromuscular Disorders
jansen type metaphyseal chondrodysplasia,15,6.4676733,6.608565,Metabolic & Kidney Disorders
pendred syndrome,3,5.4284124,2.8240738,General Medicine & Mixed Conditions
van buchem disease type 2,11,6.5636377,1.8471446,Neurology & Movement Disorders
chronic intestinal pseudoobstruction,10,4.935007,7.739202,Pediatrics & Developmental Disorders
optic atrophy 2,3,3.7951038,2.9762754,General Medicine & Mixed Conditions
"berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification",14,8.981349,4.421494,Miscellaneous & Ethics
congenital alopecia x-linked,8,5.823233,0.026817674,General Medicine & Common Conditions
cerebellar degeneration,12,3.4623556,2.7271733,Immunology & Hematology
17-alpha-hydroxylase deficiency,10,5.0303173,7.1876116,Pediatrics & Developmental Disorders
deafness enamel hypoplasia nail defects,10,8.045456,6.4255195,Pediatrics & Developmental Disorders
charcot-marie-tooth disease with ptosis and parkinsonism,9,5.2894363,7.9196157,Genetic & Rare Diseases
chordoma,3,7.359064,7.734561,General Medicine & Mixed Conditions
charcot-marie-tooth type 1 aplasia cutis congenita,8,6.372327,1.2887113,General Medicine & Common Conditions
pseudopelade of brocq,0,3.0507615,2.1247213,Genetic & Rare Diseases
lentigo maligna melanoma,1,3.1841612,0.26909602,Genetic & Rare Diseases
congenital lipoid adrenal hyperplasia,6,3.542358,4.463907,Neurology & Autonomic Disorders
renal oncocytoma,3,4.228876,3.2466302,General Medicine & Mixed Conditions
factor xiii deficiency,10,5.010027,5.261553,Pediatrics & Developmental Disorders
stratton-garcia-young syndrome,8,6.084221,1.3170596,General Medicine & Common Conditions
dystonia 19,11,2.6575944,2.9342773,Neurology & Movement Disorders
varicella virus antenatal infection,6,3.0952892,4.7805166,Neurology & Autonomic Disorders
primary gastrointestinal melanoma,8,6.6901073,0.93767315,General Medicine & Common Conditions
nelson syndrome,14,8.970365,4.5338798,Miscellaneous & Ethics
mitochondrial complex ii deficiency,8,7.121364,0.7623282,General Medicine & Common Conditions
glycogen storage disease type 12,8,6.5429287,1.0734574,General Medicine & Common Conditions
jervell and lange-nielsen syndrome 2,2,3.6235766,7.2957597,Neurology & Neuromuscular Disorders
spondyloepiphyseal dysplasia-brachydactyly and distinctive speech,8,5.903247,0.70719385,General Medicine & Common Conditions
diffuse cutaneous mastocytosis,6,3.7641568,4.535952,Neurology & Autonomic Disorders
mesomelic dysplasia savarirayan type,11,1.5125657,4.539194,Neurology & Movement Disorders
autosomal dominant optic atrophy and cataract,3,7.065586,5.4543777,General Medicine & Mixed Conditions
marden walker like syndrome,10,0.5896232,4.993687,Pediatrics & Developmental Disorders
familial tumoral calcinosis,12,2.7437336,1.2345129,Immunology & Hematology
ichthyosis prematurity syndrome,5,4.527392,2.1121688,Nephrology & Rheumatology
crystal arthropathies,11,1.2172343,6.8391557,Neurology & Movement Disorders
lung adenocarcinoma,10,4.953546,6.8757014,Pediatrics & Developmental Disorders
galactosialidosis,8,6.2696075,0.6633863,General Medicine & Common Conditions
febrile infection-related epilepsy syndrome,9,5.7835317,7.8328853,Genetic & Rare Diseases
osteodysplasty precocious of danks mayne and kozlowski,10,5.9377756,7.5372167,Pediatrics & Developmental Disorders
familial hypocalciuric hypercalcemia type 2,10,5.344133,6.1381783,Pediatrics & Developmental Disorders
d-glycericacidemia,10,6.5691023,7.2338915,Pediatrics & Developmental Disorders
transcobalamin 1 deficiency,8,7.6257734,0.3113826,General Medicine & Common Conditions
ocular cicatricial pemphigoid,10,3.8107796,3.3791177,Pediatrics & Developmental Disorders
lambdoid synostosis,16,6.4469237,4.0274987,Gastroenterology & Infectious Diseases
pilodental dysplasia with refractive errors,2,2.7460134,7.728402,Neurology & Neuromuscular Disorders
holocarboxylase synthetase deficiency,8,5.9115615,1.468997,General Medicine & Common Conditions
michelin tire baby syndrome,10,2.2988667,5.6733704,Pediatrics & Developmental Disorders
bartter syndrome type 3,12,1.8878875,2.5264974,Immunology & Hematology
russell-silver syndrome,12,5.8176627,1.5174134,Immunology & Hematology
central core disease,2,2.8074577,7.912793,Neurology & Neuromuscular Disorders
reactive arthritis,6,4.959011,6.2289104,Neurology & Autonomic Disorders
hereditary leiomyomatosis and renal cell cancer,2,2.644897,7.958439,Neurology & Neuromuscular Disorders
beare-stevenson cutis gyrata syndrome,9,5.578514,2.981412,Genetic & Rare Diseases
familial congenital fourth cranial nerve palsy,10,3.4076385,6.4307017,Pediatrics & Developmental Disorders
gracile bone dysplasia,3,7.39199,5.2770705,General Medicine & Mixed Conditions
townes-brocks syndrome,5,4.6056995,3.0786276,Nephrology & Rheumatology
congenital sucrase-isomaltase deficiency,9,4.6152515,7.432185,Genetic & Rare Diseases
immune dysfunction with t-cell inactivation due to calcium entry defect 2,3,4.5693173,2.6757004,General Medicine & Mixed Conditions
dysautonomia like disorder,8,6.5153294,0.15359771,General Medicine & Common Conditions
spondylocostal dysostosis 3,4,6.8812933,5.33605,Genetic & Rare Diseases
"thrombotic thrombocytopenic purpura, congenital",4,5.8191814,3.6322165,Genetic & Rare Diseases
optic atrophy 6,8,4.2715616,0.9593492,General Medicine & Common Conditions
neuronal ceroid lipofuscinosis 7,15,-1.6688939,0.59804654,Metabolic & Kidney Disorders
grubben de cock borghgraef syndrome,12,3.514745,2.0214424,Immunology & Hematology
aicardi-goutieres syndrome type 1,10,5.0362196,6.5454397,Pediatrics & Developmental Disorders
amyopathic dermatomyositis,16,5.5848246,3.7523966,Gastroenterology & Infectious Diseases
"maturity-onset diabetes of the young, type 7",9,3.8333755,6.1563454,Genetic & Rare Diseases
paget disease of bone,9,6.74719,8.00679,Genetic & Rare Diseases
rowley-rosenberg syndrome,9,3.0825567,5.6468167,Genetic & Rare Diseases
mckusick kaufman syndrome,1,4.234147,0.86860764,Genetic & Rare Diseases
3 methylglutaconic aciduria type v,3,6.5781245,5.2468762,General Medicine & Mixed Conditions
thai symphalangism syndrome,12,2.8150902,1.6913908,Immunology & Hematology
spastic diplegia infantile type,3,4.052012,3.398597,General Medicine & Mixed Conditions
47 xxx syndrome,5,4.689476,3.3160837,Nephrology & Rheumatology
hypertrophic neuropathy of dejerine-sottas,5,4.1175776,1.8213371,Nephrology & Rheumatology
bare lymphocyte syndrome 2,9,6.8259926,7.9665256,Genetic & Rare Diseases
retinoschisis of fovea,15,4.563051,4.1087947,Metabolic & Kidney Disorders
"dwarfism, mental retardation and eye abnormality",1,5.144676,-0.24643931,Genetic & Rare Diseases
richter syndrome,3,6.0892076,4.416145,General Medicine & Mixed Conditions
spondylothoracic dysostosis,8,6.0735326,-0.32508194,General Medicine & Common Conditions
spastic paraplegia 14,9,2.8976173,5.7155795,Genetic & Rare Diseases
cerebral palsy ataxic,9,5.1197095,7.8555794,Genetic & Rare Diseases
"autosomal recessive optic atrophy, hearing loss, and peripheral neuropathy",2,3.5941277,7.416781,Neurology & Neuromuscular Disorders
ruvalcaba syndrome,15,4.523677,4.139438,Metabolic & Kidney Disorders
papillary renal cell carcinoma,4,6.6104927,7.647193,Genetic & Rare Diseases
acute respiratory distress syndrome,1,4.9358745,0.05615208,Genetic & Rare Diseases
adolescent idiopathic scoliosis,8,6.444425,-0.040476993,General Medicine & Common Conditions
carnitine palmitoyltransferase 2 deficiency,11,3.2134564,1.7522436,Neurology & Movement Disorders
"preaxial deficiency, postaxial polydactyly and hypospadias",0,2.7779074,3.5035832,Genetic & Rare Diseases
methionine adenosyltransferase deficiency,4,6.602241,3.329706,Genetic & Rare Diseases
jervell lange-nielsen syndrome,15,4.9988823,7.7480445,Metabolic & Kidney Disorders
cranioacrofacial syndrome,8,4.7985506,0.23108108,General Medicine & Common Conditions
l-arginine:glycine amidinotransferase deficiency,3,3.7896762,2.9111292,General Medicine & Mixed Conditions
genitopatellar syndrome,2,7.71411,4.8876863,Neurology & Neuromuscular Disorders
"muscular dystrophy, congenital, merosin-positive",0,2.8881533,3.5018399,Genetic & Rare Diseases
mucopolysaccharidosis type vii,9,6.043008,7.9635854,Genetic & Rare Diseases
paraneoplastic cerebellar degeneration,2,3.0869164,7.631707,Neurology & Neuromuscular Disorders
kenny-caffey syndrome type 1,0,2.093766,3.431062,Genetic & Rare Diseases
"keratitis, hereditary",10,3.0296087,6.4491706,Pediatrics & Developmental Disorders
levator syndrome,0,5.235911,1.150615,Genetic & Rare Diseases
glycogen storage disease type 13,5,4.6310024,1.6139013,Nephrology & Rheumatology
paroxysmal ventricular fibrillation,13,1.6073686,5.9650474,Infectious Diseases & Oncology
kasznica carlson coppedge syndrome,8,5.7525444,0.67154545,General Medicine & Common Conditions
pseudoangiomatous stromal hyperplasia,3,5.634399,3.4862518,General Medicine & Mixed Conditions
fabry disease,17,-0.15976916,3.0110974,Neurology & Genetic Disorders
andermann syndrome,9,5.5174527,7.523815,Genetic & Rare Diseases
westphal disease,6,4.364192,0.1341714,Neurology & Autonomic Disorders
schwartz jampel syndrome type 1,5,4.6681685,3.6972237,Nephrology & Rheumatology
"nephropathy, deafness, and hyperparathyroidism",2,2.618799,7.944765,Neurology & Neuromuscular Disorders
adult syndrome,8,6.302287,0.88785356,General Medicine & Common Conditions
"corneal hypesthesia, familial",5,4.5754247,3.284433,Nephrology & Rheumatology
spondylometaphyseal dysplasia with cone-rod dystrophy,3,6.6002054,4.694777,General Medicine & Mixed Conditions
"x-linked intellectual disability, najm type",5,-1.6852217,0.5666574,Nephrology & Rheumatology
hirschsprung's disease,8,6.0038733,0.4012728,General Medicine & Common Conditions
paragangliomas 1,10,7.1611533,7.0087442,Pediatrics & Developmental Disorders
hypothalamic hamartomas,11,0.8219495,3.8694942,Neurology & Movement Disorders
miller-dieker syndrome,10,2.2605202,5.5322757,Pediatrics & Developmental Disorders
feingold syndrome,16,6.922739,6.568479,Gastroenterology & Infectious Diseases
kimura disease,10,6.8832088,7.8519917,Pediatrics & Developmental Disorders
carnitine-acylcarnitine translocase deficiency,9,5.5637274,7.5222993,Genetic & Rare Diseases
autoimmune atrophic gastritis,11,4.1702085,3.0831523,Neurology & Movement Disorders
dentatorubral-pallidoluysian atrophy,12,6.0332513,1.6086986,Immunology & Hematology
cleidocranial dysplasia,11,3.7540138,2.3959026,Neurology & Movement Disorders
la crosse encephalitis,9,4.5888877,6.7059927,Genetic & Rare Diseases
muir-torre syndrome,9,6.563682,5.3224263,Genetic & Rare Diseases
autosomal dominant caf au lait spots,9,5.8933387,7.7923217,Genetic & Rare Diseases
renal dysplasia megalocystis sirenomelia,12,2.4929307,1.912113,Immunology & Hematology
schwannomatosis,10,2.521239,2.966823,Pediatrics & Developmental Disorders
spastic ataxia charlevoix-saguenay type,8,6.224323,1.0946485,General Medicine & Common Conditions
sideroblastic anemia,15,4.194299,4.5700974,Metabolic & Kidney Disorders
kleefstra syndrome,5,4.377695,6.153673,Nephrology & Rheumatology
benign recurrent intrahepatic cholestasis,8,6.4360213,0.43571746,General Medicine & Common Conditions
nance-horan syndrome,1,6.161267,-0.14874022,Genetic & Rare Diseases
hypoplastic left heart syndrome,6,2.4480708,4.4744835,Neurology & Autonomic Disorders
thin basement membrane nephropathy,2,3.6312704,7.3190036,Neurology & Neuromuscular Disorders
multiple endocrine neoplasia type 2b,8,6.606523,0.603562,General Medicine & Common Conditions
chromosome 8q deletion,8,5.4744897,1.3459104,General Medicine & Common Conditions
multiple epiphyseal dysplasia 4,3,3.6042647,1.8412039,General Medicine & Mixed Conditions
flynn aird syndrome,16,5.346194,3.6134548,Gastroenterology & Infectious Diseases
osteoglophonic dysplasia,11,1.4890552,6.4299383,Neurology & Movement Disorders
cerebellar hypoplasia tapetoretinal degeneration,10,6.6269174,7.236777,Pediatrics & Developmental Disorders
moebius syndrome,2,2.5453079,7.784369,Neurology & Neuromuscular Disorders
dengue fever,16,6.26454,3.7210553,Gastroenterology & Infectious Diseases
"blepharophimosis, ptosis, and epicanthus inversus syndrome type 2",2,1.4733518,5.8107038,Neurology & Neuromuscular Disorders
"48,xxyy syndrome",3,3.6051457,1.7288811,General Medicine & Mixed Conditions
renal tubular acidosis with deafness,15,3.0626028,5.6765275,Metabolic & Kidney Disorders
orofaciodigital syndrome 5,8,7.581867,0.34110004,General Medicine & Common Conditions
"syndromic microphthalmia, type 3",6,-0.13696611,6.7132907,Neurology & Autonomic Disorders
glioma,2,3.397869,7.58306,Neurology & Neuromuscular Disorders
phosphoglycerate kinase deficiency,16,-0.28406364,6.565668,Gastroenterology & Infectious Diseases
glycosylphosphatidylinositol deficiency,8,5.950159,-0.116707675,General Medicine & Common Conditions
hypohidrotic ectodermal dysplasia,15,4.462573,4.5188355,Metabolic & Kidney Disorders
gangliocytoma,15,3.3570955,3.7622025,Metabolic & Kidney Disorders
citrullinemia type i,8,5.8745117,1.4622335,General Medicine & Common Conditions
spinocerebellar ataxia 17,9,6.3938346,8.329233,Genetic & Rare Diseases
ulna metaphyseal dysplasia syndrome,2,4.2065372,3.2972581,Neurology & Neuromuscular Disorders
familial renal cell carcinoma,8,6.4681177,1.2569647,General Medicine & Common Conditions
paramyotonia congenita,6,3.0250406,4.8922033,Neurology & Autonomic Disorders
birdshot chorioretinopathy,3,7.361313,7.7365003,General Medicine & Mixed Conditions
patent ductus venosus,9,3.8203907,6.203395,Genetic & Rare Diseases
intestinal pseudo-obstruction,15,4.161111,4.646208,Metabolic & Kidney Disorders
lung agenesis,8,5.512872,1.1089743,General Medicine & Common Conditions
littoral cell angioma of the spleen,11,3.2183473,2.1785433,Neurology & Movement Disorders
late-onset retinal degeneration,14,8.928987,4.5149117,Miscellaneous & Ethics
"escobar syndrome, type b",3,6.2588844,5.267271,General Medicine & Mixed Conditions
tricho-dento-osseous syndrome,12,2.411088,1.9993837,Immunology & Hematology
frias syndrome,16,7.140401,6.985473,Gastroenterology & Infectious Diseases
hairy elbows,8,4.378206,3.7078037,General Medicine & Common Conditions
kozlowski celermajer tink syndrome,8,6.8781705,0.3993585,General Medicine & Common Conditions
wolff-parkinson-white syndrome,8,6.146321,-0.14462541,General Medicine & Common Conditions
"taurodontism, microdontia, and dens invaginatus",11,2.9726312,3.4378371,Neurology & Movement Disorders
pontocerebellar hypoplasia type 2,16,5.329951,7.91887,Gastroenterology & Infectious Diseases
baraitser brett piesowicz syndrome,15,5.3791094,4.0889077,Metabolic & Kidney Disorders
alpha-mannosidosis type 1,6,2.8471677,4.641517,Neurology & Autonomic Disorders
harrod doman keele syndrome,5,4.10775,5.7710586,Nephrology & Rheumatology
"fibular aplasia, tibial campomelia, and oligosyndactyly syndrome",15,2.716696,3.8636968,Metabolic & Kidney Disorders
williams syndrome,16,6.1127844,4.1829524,Gastroenterology & Infectious Diseases
chromosome 6p deletion,17,1.6166741,4.393084,Neurology & Genetic Disorders
"short stature syndrome, brussels type",5,4.6703277,2.1667361,Nephrology & Rheumatology
ectodermal dysplasia skin fragility syndrome,8,6.5564537,1.0020055,General Medicine & Common Conditions
johnson munson syndrome,4,6.1824822,3.646694,Genetic & Rare Diseases
hypomelia mullerian duct anomalies,16,5.683406,7.823812,Gastroenterology & Infectious Diseases
"infantile convulsions and paroxysmal choreoathetosis, familial",11,4.9581676,6.6992,Neurology & Movement Disorders
swyer-james syndrome,9,6.3534393,7.8788214,Genetic & Rare Diseases
robinow sorauf syndrome,8,6.0572047,0.93237907,General Medicine & Common Conditions
"cataracts, ataxia, short stature, and mental retardation",8,7.623055,0.3098363,General Medicine & Common Conditions
hirschsprung disease type 3,3,2.6290684,5.798482,General Medicine & Mixed Conditions
ornithine translocase deficiency syndrome,8,6.36508,1.0997192,General Medicine & Common Conditions
oculodentodigital dysplasia,10,6.223929,7.2208176,Pediatrics & Developmental Disorders
immunodeficiency with hyper igm type 5,9,5.7569375,7.729237,Genetic & Rare Diseases
dwarfism levi type,15,3.9342916,4.3225546,Metabolic & Kidney Disorders
congenital dyserythropoietic anemia type 2,3,6.5324574,5.1596894,General Medicine & Mixed Conditions
sarcosinemia,10,0.4490979,4.1617947,Pediatrics & Developmental Disorders
lipedema,0,2.0675538,3.8862321,Genetic & Rare Diseases
chops syndrome,9,5.714763,7.646995,Genetic & Rare Diseases
2-methyl-3-hydroxybutyric aciduria,8,6.9919796,0.68554616,General Medicine & Common Conditions
camptodactyly taurinuria,9,6.4053516,8.311345,Genetic & Rare Diseases
klatskin tumor,14,8.071963,4.488546,Miscellaneous & Ethics
stargardt macular degeneration absent or hypoplastic corpus callosum mental retardation and dysmorphic features,2,2.7050164,7.5173297,Neurology & Neuromuscular Disorders
neurofaciodigitorenal syndrome,3,6.1816154,5.1773124,General Medicine & Mixed Conditions
hurler syndrome,3,5.592924,3.018681,General Medicine & Mixed Conditions
ectopia pupillae,9,5.8576922,7.793712,Genetic & Rare Diseases
spondylocostal dysostosis 2,7,1.3477758,4.362645,Genetic & Rare Diseases
amyotrophic lateral sclerosis type 6,0,1.8401762,3.0208397,Genetic & Rare Diseases
dermal eccrine cylindroma,10,7.013804,6.5662847,Pediatrics & Developmental Disorders
brachydactyly type b,15,6.42442,6.574592,Metabolic & Kidney Disorders
isolated acth deficiency,5,6.263507,3.2339008,Nephrology & Rheumatology
ichthyosis hystrix gravior,0,3.0066214,4.112822,Genetic & Rare Diseases
hyde forster mccarthy berry syndrome,1,6.5711703,-0.1978118,Genetic & Rare Diseases
congenital myasthenic syndrome associated with acetylcholine receptor deficiency,9,3.2738843,5.876873,Genetic & Rare Diseases
lymphatic filariasis,0,3.500983,3.7335577,Genetic & Rare Diseases
"atrial myxoma, familial",12,5.4770823,1.2785816,Immunology & Hematology
ring chromosome 20,9,6.4228406,8.353972,Genetic & Rare Diseases
horizontal gaze palsy with progressive scoliosis,0,1.3925035,4.395226,Genetic & Rare Diseases
anemia due to adenosine triphosphatase deficiency,3,3.7566695,3.2098286,General Medicine & Mixed Conditions
gtp cyclohydrolase i deficiency,10,4.5226674,7.2259874,Pediatrics & Developmental Disorders
bartter syndrome,9,6.4129744,8.0351305,Genetic & Rare Diseases
fg syndrome 4,6,2.9471622,4.740119,Neurology & Autonomic Disorders
zika virus infection,11,4.584275,2.046048,Neurology & Movement Disorders
urachal cyst,8,6.210827,0.6942094,General Medicine & Common Conditions
lethal congenital contracture syndrome 1,4,7.344145,5.2324405,Genetic & Rare Diseases
"neuropathy, congenital, with arthrogryposis multiplex",16,8.020264,6.4214535,Gastroenterology & Infectious Diseases
lambert eaton myasthenic syndrome,3,6.7736726,5.3161716,General Medicine & Mixed Conditions
high molecular weight kininogen deficiency,8,5.7094755,0.043114796,General Medicine & Common Conditions
thakker-donnai syndrome,10,6.8492966,7.9778285,Pediatrics & Developmental Disorders
nasopharyngeal carcinoma,3,5.7453246,4.200337,General Medicine & Mixed Conditions
nonalcoholic steatohepatitis,8,6.4200125,0.25495422,General Medicine & Common Conditions
autosomal dominant intermediate charcot-marie-tooth disease type d,8,6.62167,1.6880516,General Medicine & Common Conditions
hereditary angioedema,9,2.331574,6.209061,Genetic & Rare Diseases
microphthalmia mental deficiency,8,5.5228543,-0.089458905,General Medicine & Common Conditions
omodysplasia 2,16,4.8534946,1.6784397,Gastroenterology & Infectious Diseases
"ehlers-danlos syndrome, spondylocheirodysplastic type",8,6.074638,-0.09932625,General Medicine & Common Conditions
episodic ataxia,6,2.9130712,5.0001974,Neurology & Autonomic Disorders
partington syndrome,2,5.1362762,6.848053,Neurology & Neuromuscular Disorders
insulin-like growth factor i deficiency,8,6.6083617,1.3148812,General Medicine & Common Conditions
leukoencephalopathy with vanishing white matter,12,2.2860906,1.9421077,Immunology & Hematology
gombo syndrome,0,4.5215697,4.1778417,Genetic & Rare Diseases
fraser like syndrome,9,6.095467,8.06717,Genetic & Rare Diseases
axial osteomalacia,3,7.4476953,5.133092,General Medicine & Mixed Conditions
acromegaly,3,5.5103035,2.8756495,General Medicine & Mixed Conditions
donnai-barrow syndrome,8,5.795382,1.3850703,General Medicine & Common Conditions
mantle cell lymphoma,3,5.7263627,3.525787,General Medicine & Mixed Conditions
fibrous dysplasia,11,3.5069952,2.3611546,Neurology & Movement Disorders
early infantile epileptic encephalopathy,6,2.8664138,4.8338857,Neurology & Autonomic Disorders
charcot-marie-tooth disease type 2o,14,3.3636189,4.535559,Miscellaneous & Ethics
mac dermot winter syndrome,9,6.41775,8.0181875,Genetic & Rare Diseases
familial osteochondritis dissecans,1,3.5644615,0.25883523,Genetic & Rare Diseases
cohen syndrome,11,0.9824446,5.1898584,Neurology & Movement Disorders
aplasia cutis congenita,16,1.6056247,4.5211225,Gastroenterology & Infectious Diseases
cleft palate stapes fixation oligodontia,5,4.7610116,2.8391438,Nephrology & Rheumatology
hyper-igd syndrome,1,5.4154744,0.113650024,Genetic & Rare Diseases
triploidy,10,4.9007826,6.356835,Pediatrics & Developmental Disorders
developmental dysphasia familial,2,3.1792405,7.4656444,Neurology & Neuromuscular Disorders
chilaiditi syndrome,3,5.4503727,2.9533763,General Medicine & Mixed Conditions
microphthalmia syndromic 5,4,5.397875,3.661125,Genetic & Rare Diseases
intrahepatic cholestasis of pregnancy,11,3.5731487,1.784714,Neurology & Movement Disorders
tyrosinemia type 3,4,5.915522,3.9259012,Genetic & Rare Diseases
"maturity-onset diabetes of the young, type 5",15,5.122014,5.2630415,Metabolic & Kidney Disorders
alpha-ketoglutarate dehydrogenase deficiency,1,3.4800417,0.29044282,Genetic & Rare Diseases
"hypertrichosis, hyperkeratosis, mental retardation, and distinctive facial features",9,5.238443,7.9089084,Genetic & Rare Diseases
meckel syndrome type 3,10,6.0602384,7.2001715,Pediatrics & Developmental Disorders
bardet-biedl syndrome 6,9,5.8026185,7.8771467,Genetic & Rare Diseases
split hand split foot nystagmus,9,6.383678,8.246615,Genetic & Rare Diseases
apparent mineralocorticoid excess,3,6.536006,5.2721887,General Medicine & Mixed Conditions
kosztolanyi syndrome,16,5.036563,6.3042397,Gastroenterology & Infectious Diseases
epithelial basement membrane corneal dystrophy,12,2.3546274,2.0338662,Immunology & Hematology
17-beta hydroxysteroid dehydrogenase 3 deficiency,15,0.60273033,7.037363,Metabolic & Kidney Disorders
brody myopathy,6,1.0858371,6.6534467,Neurology & Autonomic Disorders
familial progressive cardiac conduction defect,13,-0.282451,5.0293627,Infectious Diseases & Oncology
orofaciodigital syndrome 2,15,3.9236958,6.0300746,Metabolic & Kidney Disorders
miller syndrome,2,2.6731675,7.97867,Neurology & Neuromuscular Disorders
"dwarfism, proportionate with hip dislocation",9,6.533535,7.950462,Genetic & Rare Diseases
gray platelet syndrome,0,1.414097,4.3915677,Genetic & Rare Diseases
familial partial lipodystrophy associated with pparg mutations,14,9.073784,4.457648,Miscellaneous & Ethics
pyruvate carboxylase deficiency,8,6.099811,0.25889143,General Medicine & Common Conditions
microcephaly brain defect spasticity hypernatremia,15,4.156861,4.3137846,Metabolic & Kidney Disorders
kallmann syndrome 6,1,3.2355587,0.86167634,Genetic & Rare Diseases
"leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema",0,3.9109762,3.5652711,Genetic & Rare Diseases
"palmoplantar keratoderma, epidermolytic",11,4.10307,2.2717323,Neurology & Movement Disorders
bilateral frontal polymicrogyria,8,6.5704823,1.1419138,General Medicine & Common Conditions
gm1 gangliosidosis type 2,1,3.5141308,-0.5342893,Genetic & Rare Diseases
limited systemic sclerosis,5,6.991309,7.0011606,Nephrology & Rheumatology
junctional epidermolysis bullosa,8,6.21558,-0.14577992,General Medicine & Common Conditions
male pseudohermaphroditism due to defective lh molecule,8,6.211386,0.6878745,General Medicine & Common Conditions
fitzsimmons-guilbert syndrome,1,3.307645,-0.38450128,Genetic & Rare Diseases
hemophilia b,9,5.9382973,8.239119,Genetic & Rare Diseases
myeloperoxidase deficiency,1,3.600297,-0.19092415,Genetic & Rare Diseases
primrose syndrome,1,4.022237,0.17306407,Genetic & Rare Diseases
charcot-marie-tooth disease type 2n,1,3.3823373,-0.4086712,Genetic & Rare Diseases
young syndrome,1,3.3259556,-0.43512005,Genetic & Rare Diseases
subaortic stenosis short stature syndrome,3,6.587733,5.298478,General Medicine & Mixed Conditions
20p12.3 microdeletion syndrome,1,3.3582442,-0.43162724,Genetic & Rare Diseases
hereditary sensory and autonomic neuropathy type v,5,4.867827,3.3904512,Nephrology & Rheumatology
rhabdoid tumor,3,7.432024,5.261656,General Medicine & Mixed Conditions
chiari malformation type 3,9,4.9425955,7.01199,Genetic & Rare Diseases
pyogenic granuloma,8,5.582246,0.81322795,General Medicine & Common Conditions
woolly hair syndrome,0,5.5291166,1.6793585,Genetic & Rare Diseases
"trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina",12,2.4409876,2.891845,Immunology & Hematology
marshall syndrome,15,4.9163337,7.327242,Metabolic & Kidney Disorders
cold urticaria,9,5.61612,7.525137,Genetic & Rare Diseases
succinic acidemia,11,3.0751064,2.5234277,Neurology & Movement Disorders
mosaic trisomy 14,9,6.114443,8.049303,Genetic & Rare Diseases
nevoid basal cell carcinoma syndrome,11,4.11416,5.4076424,Neurology & Movement Disorders
waardenburg syndrome type 3,10,6.7876844,7.9694333,Pediatrics & Developmental Disorders
microphthalmia syndromic 8,9,5.756641,7.872234,Genetic & Rare Diseases
ppm-x syndrome,9,6.2221785,7.7022376,Genetic & Rare Diseases
van bogaert-hozay syndrome,10,5.5296974,7.0546746,Pediatrics & Developmental Disorders
juvenile retinoschisis,5,4.767084,2.2102852,Nephrology & Rheumatology
distal myopathy with vocal cord weakness,12,3.275942,2.2643683,Immunology & Hematology
freeman sheldon syndrome,13,-0.08697005,5.1235633,Infectious Diseases & Oncology
steatocystoma multiplex,16,6.7157884,7.0121,Gastroenterology & Infectious Diseases
tetrahydrobiopterin deficiency,14,8.991472,4.4700875,Miscellaneous & Ethics
meckel syndrome type 2,3,7.027558,4.307996,General Medicine & Mixed Conditions
adenocarcinoma of the appendix,10,5.053559,7.844637,Pediatrics & Developmental Disorders
"hepatocellular carcinoma, childhood",9,6.5262694,7.3071256,Genetic & Rare Diseases
macrodactyly of the hand,10,5.1461296,6.4782743,Pediatrics & Developmental Disorders
trichotillomania,5,3.9663575,6.07397,Nephrology & Rheumatology
11-beta-hydroxylase deficiency,9,5.5844164,7.523101,Genetic & Rare Diseases
spinocerebellar ataxia 4,1,3.353317,-0.41696864,Genetic & Rare Diseases
primary spontaneous pneumothorax,13,0.24203251,4.694979,Infectious Diseases & Oncology
"aganglionosis, total intestinal",1,3.33751,-0.3823621,Genetic & Rare Diseases
gupta patton syndrome,1,3.3557787,-0.37237838,Genetic & Rare Diseases
"hypomagnesemia 2, renal",10,6.644029,2.094532,Pediatrics & Developmental Disorders
spondylocostal dysostosis 1,11,3.6574423,2.4776988,Neurology & Movement Disorders
takayasu arteritis,1,3.3227105,-0.4226849,Genetic & Rare Diseases
cataract anterior polar dominant,8,6.591194,0.4236457,General Medicine & Common Conditions
