focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
hereditary antithrombin deficiency,hereditary antithrombin deficiency,5,hereditary antithrombin deficiency,Genetics & Rare Disorders,1.0,regex_override,Immunology & Rheumatology,0.022120282,0.9778797179460526
frontotemporal dementia with parkinsonism-17,frontotemporal dementia with parkinsonism 17,5,frontotemporal dementia with parkinsonism-17,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
hepatitis b: what asian and pacific islander americans need to know,hepatitis b what asian and pacific islander americans need to know,5,Hepatitis B: What Asian and Pacific Islander Americans Need to Know,Infectious Diseases,1.0,regex_override,Gastroenterology & Hepatology,0.027107734,0.972892265766859
fowler's syndrome,fowler s syndrome,5,Fowler's syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
foxg1 syndrome,foxg1 syndrome,5,FOXG1 syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
hepatic veno-occlusive disease with immunodeficiency,hepatic veno occlusive disease with immunodeficiency,5,hepatic veno-occlusive disease with immunodeficiency,General & Preventive Medicine,0.03301118686795235,fallback_default,Pulmonology & Respiratory,0.029377975,0.003633212298154831
fragile x-associated primary ovarian insufficiency,fragile x associated primary ovarian insufficiency,5,fragile X-associated primary ovarian insufficiency,Obstetrics & Gynecology,1.0,regex_override,General & Preventive Medicine,0.02354795,0.976452050730586
fragile x-associated tremor/ataxia syndrome,fragile x associated tremor ataxia syndrome,5,fragile X-associated tremor/ataxia syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0063528046,0.9936471953988075
fragile xe syndrome,fragile xe syndrome,5,fragile XE syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008136959,0.9918630411848426
fraser syndrome,fraser syndrome,5,Fraser syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
frasier syndrome,frasier syndrome,5,Frasier syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
freeman-sheldon syndrome,freeman sheldon syndrome,5,Freeman-Sheldon syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008382249,0.9916177513077855
freiberg's disease,freiberg s disease,5,Freiberg's disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
friedreich's ataxia,friedreich s ataxia,5,Friedreich's Ataxia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fuchs endothelial dystrophy,fuchs endothelial dystrophy,5,Fuchs endothelial dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
generalized arterial calcification of infancy,generalized arterial calcification of infancy,5,generalized arterial calcification of infancy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fucosidosis,fucosidosis,5,fucosidosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fukuyama congenital muscular dystrophy,fukuyama congenital muscular dystrophy,5,Fukuyama congenital muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hemifacial microsomia,hemifacial microsomia,5,Hemifacial microsomia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
galactosemia,galactosemia,5,galactosemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
heart murmur,heart murmur,5,Heart Murmur,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
gardner-diamond syndrome,gardner diamond syndrome,5,Gardner-Diamond syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008332369,0.9916676310822368
headache,headache,5,Headache,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
head and neck squamous cell carcinoma,head and neck squamous cell carcinoma,5,head and neck squamous cell carcinoma,Oncology,1.0,regex_override,Neurology & Neurosurgery,0.009829928,0.9901700718328357
hashimoto's encephalitis,hashimoto s encephalitis,5,Hashimoto's encephalitis,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
gastrointestinal stromal tumor,gastrointestinal stromal tumor,5,gastrointestinal stromal tumor,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
hashimoto thyroiditis,hashimoto thyroiditis,5,Hashimoto thyroiditis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
geleophysic dysplasia,geleophysic dysplasia,5,geleophysic dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
hypomyelination with atrophy of basal ganglia and cerebellum,hypomyelination with atrophy of basal ganglia and cerebellum,5,Hypomyelination with atrophy of basal ganglia and cerebellum,General & Preventive Medicine,0.008047987706959248,fallback_default,Oncology,0.007794891,0.00025309668853878975
familial erythrocytosis,familial erythrocytosis,5,familial erythrocytosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
familial dysautonomia,familial dysautonomia,5,familial dysautonomia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
legg-calv-perthes disease,legg calv perthes disease,5,Legg-Calv-Perthes disease,General & Preventive Medicine,0.0375031903386116,fallback_default,Pulmonology & Respiratory,0.033375587,0.0041276030242443085
lichen planus pigmentosus,lichen planus pigmentosus,5,Lichen planus pigmentosus,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
li-fraumeni syndrome,li fraumeni syndrome,5,Li-Fraumeni syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
leydig cell hypoplasia,leydig cell hypoplasia,5,Leydig cell hypoplasia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leukonychia totalis,leukonychia totalis,5,Leukonychia totalis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation,5,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation,Neurology & Neurosurgery,1.0,regex_override,Oncology,0.013872667,0.9861273327842355
leukodystrophy,leukodystrophy,5,Leukodystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leukocyte adhesion deficiency type 1,leukocyte adhesion deficiency type 1,5,leukocyte adhesion deficiency type 1,General & Preventive Medicine,0.018435563892126083,fallback_default,General & Preventive Medicine,0.0,0.018435563892126083
leptin receptor deficiency,leptin receptor deficiency,5,leptin receptor deficiency,General & Preventive Medicine,0.021444711834192276,fallback_default,General & Preventive Medicine,0.0,0.021444711834192276
lemierre syndrome,lemierre syndrome,5,Lemierre syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
dyserythropoietic anemia and thrombocytopenia,dyserythropoietic anemia and thrombocytopenia,5,dyserythropoietic anemia and thrombocytopenia,Hematology,1.0,regex_override,Neurology & Neurosurgery,0.012270014,0.9877299861982465
leigh syndrome,leigh syndrome,5,Leigh syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012477084,0.9875229159370065
dyskeratosis congenita,dyskeratosis congenita,5,dyskeratosis congenita,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
leber congenital amaurosis,leber congenital amaurosis,5,Leber congenital amaurosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
duchenne and becker muscular dystrophy,duchenne and becker muscular dystrophy,5,Duchenne and Becker muscular dystrophy,General & Preventive Medicine,0.01080732699483633,fallback_default,Oncology,0.010467453,0.0003398740664124489
dyssynergia cerebellaris myoclonica,dyssynergia cerebellaris myoclonica,5,Dyssynergia cerebellaris myoclonica,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lattice corneal dystrophy type ii,lattice corneal dystrophy type ii,5,lattice corneal dystrophy type II,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lattice corneal dystrophy type i,lattice corneal dystrophy type i,5,lattice corneal dystrophy type I,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
late-infantile neuronal ceroid lipofuscinosis,late infantile neuronal ceroid lipofuscinosis,5,late-infantile neuronal ceroid lipofuscinosis,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
laryngo-onycho-cutaneous syndrome,laryngo onycho cutaneous syndrome,5,laryngo-onycho-cutaneous syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0067422236,0.9932577763684094
dystonia 6,dystonia 6,5,dystonia 6,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
langer-giedion syndrome,langer giedion syndrome,5,Langer-Giedion syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008214173,0.9917858270928264
lama2-related muscular dystrophy,lama2 related muscular dystrophy,5,LAMA2-related muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lafora progressive myoclonus epilepsy,lafora progressive myoclonus epilepsy,5,Lafora progressive myoclonus epilepsy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
early-onset glaucoma,early onset glaucoma,5,early-onset glaucoma,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
lacrimo-auriculo-dento-digital syndrome,lacrimo auriculo dento digital syndrome,5,lacrimo-auriculo-dento-digital syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.005897161,0.9941028389148414
early-onset primary dystonia,early onset primary dystonia,5,early-onset primary dystonia,General & Preventive Medicine,0.028662750497460365,fallback_default,Genetics & Rare Disorders,0.0,0.028662750497460365
duchenne muscular dystrophy,duchenne muscular dystrophy,5,Duchenne muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dubin-johnson syndrome,dubin johnson syndrome,5,Dubin-Johnson syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008341337,0.9916586633771658
kufs disease,kufs disease,5,Kufs disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
"distal hereditary motor neuropathy, type ii",distal hereditary motor neuropathy type ii,5,"distal hereditary motor neuropathy, type II",Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
dicer1 syndrome,dicer1 syndrome,5,DICER1 syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
malignant hyperthermia,malignant hyperthermia,5,malignant hyperthermia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
mal de meleda,mal de meleda,5,mal de Meleda,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
mainzer-saldino syndrome,mainzer saldino syndrome,5,Mainzer-Saldino syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
mabry syndrome,mabry syndrome,5,Mabry syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
diffuse idiopathic skeletal hyperostosis,diffuse idiopathic skeletal hyperostosis,5,Diffuse idiopathic skeletal hyperostosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lymphangioleiomyomatosis,lymphangioleiomyomatosis,5,lymphangioleiomyomatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dilated cardiomyopathy with ataxia syndrome,dilated cardiomyopathy with ataxia syndrome,5,dilated cardiomyopathy with ataxia syndrome,Cardiology & Vascular,1.0,regex_override,Cardiology & Vascular,0.34457538,0.6554246246814728
lupus,lupus,5,Lupus,Immunology & Rheumatology,1.0,regex_override,Dermatology,0.13529429,0.8647057116031647
disseminated peritoneal leiomyomatosis,disseminated peritoneal leiomyomatosis,5,Disseminated peritoneal leiomyomatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
distal arthrogryposis type 1,distal arthrogryposis type 1,5,distal arthrogryposis type 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lowe syndrome,lowe syndrome,5,Lowe syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
"distal hereditary motor neuropathy, type v",distal hereditary motor neuropathy type v,5,"distal hereditary motor neuropathy, type V",Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
duane-radial ray syndrome,duane radial ray syndrome,5,Duane-radial ray syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0069201523,0.9930798476561904
distal myopathy 2,distal myopathy 2,5,distal myopathy 2,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
long-chain 3-hydroxyacyl-coa dehydrogenase deficiency,long chain 3 hydroxyacyl coa dehydrogenase deficiency,5,long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,General & Preventive Medicine,0.03692622110247612,fallback_default,Immunology & Rheumatology,0.015137577,0.021788643673062325
loin pain hematuria syndrome,loin pain hematuria syndrome,5,Loin pain hematuria syndrome,Genetics & Rare Disorders,1.0,regex_override,Musculoskeletal & Orthopedics,0.07149717,0.9285028278827667
dmd-associated dilated cardiomyopathy,dmd associated dilated cardiomyopathy,5,DMD-associated dilated cardiomyopathy,Cardiology & Vascular,1.0,regex_override,General & Preventive Medicine,0.0,1.0
dolk-congenital disorder of glycosylation,dolk congenital disorder of glycosylation,5,DOLK-congenital disorder of glycosylation,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dominant dystrophic epidermolysis bullosa,dominant dystrophic epidermolysis bullosa,5,Dominant dystrophic epidermolysis bullosa,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
donohue syndrome,donohue syndrome,5,Donohue syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
doors syndrome,doors syndrome,5,DOORS syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
dopamine beta-hydroxylase deficiency,dopamine beta hydroxylase deficiency,5,dopamine beta-hydroxylase deficiency,General & Preventive Medicine,0.019485820084810257,fallback_default,General & Preventive Medicine,0.0,0.019485820084810257
dopamine transporter deficiency syndrome,dopamine transporter deficiency syndrome,5,dopamine transporter deficiency syndrome,Genetics & Rare Disorders,1.0,regex_override,Immunology & Rheumatology,0.019130226,0.9808697737753391
lissencephaly with cerebellar hypoplasia,lissencephaly with cerebellar hypoplasia,5,lissencephaly with cerebellar hypoplasia,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
lipodermatosclerosis,lipodermatosclerosis,5,Lipodermatosclerosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
kuskokwim syndrome,kuskokwim syndrome,5,Kuskokwim syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
koolen-de vries syndrome,koolen de vries syndrome,5,Koolen-de Vries syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0069546904,0.9930453095585108
familial cylindromatosis,familial cylindromatosis,5,familial cylindromatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ethylmalonic encephalopathy,ethylmalonic encephalopathy,5,ethylmalonic encephalopathy,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
isolated pierre robin sequence,isolated pierre robin sequence,5,isolated Pierre Robin sequence,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
isolated lissencephaly sequence,isolated lissencephaly sequence,5,isolated lissencephaly sequence,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
isolated growth hormone deficiency,isolated growth hormone deficiency,5,isolated growth hormone deficiency,Endocrinology & Diabetes,1.0,regex_override,Pediatrics & Development,0.2490779,0.7509220987558365
isolated duane retraction syndrome,isolated duane retraction syndrome,5,isolated Duane retraction syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0068826256,0.993117374368012
iron-refractory iron deficiency anemia,iron refractory iron deficiency anemia,5,iron-refractory iron deficiency anemia,Hematology,1.0,regex_override,Immunology & Rheumatology,0.014634224,0.9853657763451338
irak-4 deficiency,irak 4 deficiency,5,IRAK-4 deficiency,General & Preventive Medicine,0.02819819003343582,fallback_default,General & Preventive Medicine,0.0,0.02819819003343582
"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",intrauterine growth restriction metaphyseal dysplasia adrenal hypoplasia congenita and genital anomalies,5,"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",Endocrinology & Diabetes,1.0,regex_override,Pediatrics & Development,0.22544365,0.77455635368824
erythrokeratodermia variabilis et progressiva,erythrokeratodermia variabilis et progressiva,5,erythrokeratodermia variabilis et progressiva,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
intranuclear rod myopathy,intranuclear rod myopathy,5,intranuclear rod myopathy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
esophageal atresia/tracheoesophageal fistula,esophageal atresia tracheoesophageal fistula,5,esophageal atresia/tracheoesophageal fistula,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
essential pentosuria,essential pentosuria,5,essential pentosuria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
esthesioneuroblastoma,esthesioneuroblastoma,5,Esthesioneuroblastoma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
inherited thyroxine-binding globulin deficiency,inherited thyroxine binding globulin deficiency,5,inherited thyroxine-binding globulin deficiency,Genetics & Rare Disorders,1.0,regex_override,Immunology & Rheumatology,0.015252115,0.9847478847950697
epidermolytic hyperkeratosis,epidermolytic hyperkeratosis,5,epidermolytic hyperkeratosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
infantile-onset spinocerebellar ataxia,infantile onset spinocerebellar ataxia,5,infantile-onset spinocerebellar ataxia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
infantile systemic hyalinosis,infantile systemic hyalinosis,5,infantile systemic hyalinosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
infantile neuronal ceroid lipofuscinosis,infantile neuronal ceroid lipofuscinosis,5,infantile neuronal ceroid lipofuscinosis,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
infantile neuroaxonal dystrophy,infantile neuroaxonal dystrophy,5,infantile neuroaxonal dystrophy,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
"immune dysregulation, polyendocrinopathy, enteropathy, x-linked syndrome",immune dysregulation polyendocrinopathy enteropathy x linked syndrome,5,"immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome",Immunology & Rheumatology,1.0,regex_override,Immunology & Rheumatology,0.33994135,0.6600586473941803
imerslund-grsbeck syndrome,imerslund grsbeck syndrome,5,Imerslund-Grsbeck syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008026777,0.9919732231646776
factor x deficiency,factor x deficiency,5,factor X deficiency,General & Preventive Medicine,0.03247760236263275,fallback_default,General & Preventive Medicine,0.0,0.03247760236263275
ichthyosis with confetti,ichthyosis with confetti,5,ichthyosis with confetti,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
familial acute myeloid leukemia with mutated cebpa,familial acute myeloid leukemia with mutated cebpa,5,familial acute myeloid leukemia with mutated CEBPA,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
familial adenomatous polyposis,familial adenomatous polyposis,5,familial adenomatous polyposis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hystrix-like ichthyosis with deafness,hystrix like ichthyosis with deafness,5,hystrix-like ichthyosis with deafness,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
familial cold autoinflammatory syndrome,familial cold autoinflammatory syndrome,5,familial cold autoinflammatory syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0071255513,0.9928744486533105
epilepsy,epilepsy,5,Epilepsy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
jacobsen syndrome,jacobsen syndrome,5,Jacobsen syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
knobloch syndrome,knobloch syndrome,5,Knobloch syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
kabuki syndrome,kabuki syndrome,5,Kabuki syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
kniest dysplasia,kniest dysplasia,5,Kniest dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
klippel-trenaunay syndrome,klippel trenaunay syndrome,5,Klippel-Trenaunay syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008435506,0.9915644936263561
klippel-feil syndrome,klippel feil syndrome,5,Klippel-Feil syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008435506,0.9915644936263561
eec syndrome,eec syndrome,5,EEC syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
"ehlers-danlos syndrome, progeroid type",ehlers danlos syndrome progeroid type,5,"Ehlers-Danlos syndrome, progeroid type",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0066977968,0.9933022032491863
klebsiella infection,klebsiella infection,5,Klebsiella infection,Infectious Diseases,0.20000000298023224,anchor_similarity,General & Preventive Medicine,0.0,0.20000000298023224
electrocardiogram,electrocardiogram,5,Electrocardiogram,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
emery-dreifuss muscular dystrophy,emery dreifuss muscular dystrophy,5,Emery-Dreifuss muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
keratoderma with woolly hair,keratoderma with woolly hair,5,keratoderma with woolly hair,General & Preventive Medicine,0.03878931701183319,fallback_default,General & Preventive Medicine,0.0,0.03878931701183319
keratitis-ichthyosis-deafness syndrome,keratitis ichthyosis deafness syndrome,5,keratitis-ichthyosis-deafness syndrome,Genetics & Rare Disorders,1.0,regex_override,Ophthalmology,0.05552993,0.9444700703024864
encephalitis lethargica,encephalitis lethargica,5,Encephalitis lethargica,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
kawasaki syndrome,kawasaki syndrome,5,Kawasaki syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
juvenile retinoschisis,juvenile retinoschisis,5,Juvenile retinoschisis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
epidermolysis bullosa with pyloric atresia,epidermolysis bullosa with pyloric atresia,5,epidermolysis bullosa with pyloric atresia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
juvenile primary osteoporosis,juvenile primary osteoporosis,5,juvenile primary osteoporosis,Musculoskeletal & Orthopedics,1.0,regex_override,General & Preventive Medicine,0.03313541,0.9668645896017551
juvenile polyposis syndrome,juvenile polyposis syndrome,5,juvenile polyposis syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008655968,0.9913440318778157
juvenile paget disease,juvenile paget disease,5,juvenile Paget disease,General & Preventive Medicine,0.051996394991874695,fallback_default,Pulmonology & Respiratory,0.04627367,0.00572272390127182
juvenile myelomonocytic leukemia,juvenile myelomonocytic leukemia,5,Juvenile Myelomonocytic Leukemia,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
eosinophil peroxidase deficiency,eosinophil peroxidase deficiency,5,eosinophil peroxidase deficiency,General & Preventive Medicine,0.020463544875383377,fallback_default,General & Preventive Medicine,0.0,0.020463544875383377
juvenile hyaline fibromatosis,juvenile hyaline fibromatosis,5,juvenile hyaline fibromatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
epidermal nevus,epidermal nevus,5,epidermal nevus,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
juvenile batten disease,juvenile batten disease,5,juvenile Batten disease,General & Preventive Medicine,0.04981176182627678,fallback_default,Pulmonology & Respiratory,0.04432948,0.005482282489538193
epidermolysis bullosa acquisita,epidermolysis bullosa acquisita,5,Epidermolysis bullosa acquisita,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
epidermolysis bullosa simplex,epidermolysis bullosa simplex,5,epidermolysis bullosa simplex,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
jones syndrome,jones syndrome,5,Jones syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011623846,0.9883761536329985
jervell and lange-nielsen syndrome,jervell and lange nielsen syndrome,5,Jervell and Lange-Nielsen syndrome,Genetics & Rare Disorders,1.0,regex_override,Neurology & Neurosurgery,0.0107425535,0.9892574464902282
mthfr gene mutation,mthfr gene mutation,5,MTHFR gene mutation,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
jackson-weiss syndrome,jackson weiss syndrome,5,Jackson-Weiss syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
rubinstein-taybi syndrome,rubinstein taybi syndrome,5,Rubinstein-Taybi syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
autosomal dominant vitreoretinochoroidopathy,autosomal dominant vitreoretinochoroidopathy,5,autosomal dominant vitreoretinochoroidopathy,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spastic paraplegia type 2,spastic paraplegia type 2,5,spastic paraplegia type 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 31,spastic paraplegia type 31,5,spastic paraplegia type 31,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 3a,spastic paraplegia type 3a,5,spastic paraplegia type 3A,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 4,spastic paraplegia type 4,5,spastic paraplegia type 4,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 7,spastic paraplegia type 7,5,spastic paraplegia type 7,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
spastic paraplegia type 8,spastic paraplegia type 8,5,spastic paraplegia type 8,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
