focus_area,cluster,umap_x,umap_y
aicardi-goutieres syndrome type 1,10,5.0362196,6.5454397
amyopathic dermatomyositis,16,5.5848246,3.7523966
"maturity-onset diabetes of the young, type 7",9,3.8333755,6.1563454
paget disease of bone,9,6.74719,8.00679
rowley-rosenberg syndrome,9,3.0825567,5.6468167
mckusick kaufman syndrome,1,4.234147,0.86860764
3 methylglutaconic aciduria type v,3,6.5781245,5.2468762
thai symphalangism syndrome,12,2.8150902,1.6913908
spastic diplegia infantile type,3,4.052012,3.398597
47 xxx syndrome,5,4.689476,3.3160837
hypertrophic neuropathy of dejerine-sottas,5,4.1175776,1.8213371
bare lymphocyte syndrome 2,9,6.8259926,7.9665256
retinoschisis of fovea,15,4.563051,4.1087947
"dwarfism, mental retardation and eye abnormality",1,5.144676,-0.24643931
richter syndrome,3,6.0892076,4.416145
spondylothoracic dysostosis,8,6.0735326,-0.32508194
spastic paraplegia 14,9,2.8976173,5.7155795
cerebral palsy ataxic,9,5.1197095,7.8555794
"autosomal recessive optic atrophy, hearing loss, and peripheral neuropathy",2,3.5941277,7.416781
ruvalcaba syndrome,15,4.523677,4.139438
papillary renal cell carcinoma,4,6.6104927,7.647193
acute respiratory distress syndrome,1,4.9358745,0.05615208
adolescent idiopathic scoliosis,8,6.444425,-0.040476993
carnitine palmitoyltransferase 2 deficiency,11,3.2134564,1.7522436
"preaxial deficiency, postaxial polydactyly and hypospadias",0,2.7779074,3.5035832
methionine adenosyltransferase deficiency,4,6.602241,3.329706
jervell lange-nielsen syndrome,15,4.9988823,7.7480445
cranioacrofacial syndrome,8,4.7985506,0.23108108
l-arginine:glycine amidinotransferase deficiency,3,3.7896762,2.9111292
genitopatellar syndrome,2,7.71411,4.8876863
"muscular dystrophy, congenital, merosin-positive",0,2.8881533,3.5018399
mucopolysaccharidosis type vii,9,6.043008,7.9635854
paraneoplastic cerebellar degeneration,2,3.0869164,7.631707
kenny-caffey syndrome type 1,0,2.093766,3.431062
"keratitis, hereditary",10,3.0296087,6.4491706
levator syndrome,0,5.235911,1.150615
glycogen storage disease type 13,5,4.6310024,1.6139013
paroxysmal ventricular fibrillation,13,1.6073686,5.9650474
kasznica carlson coppedge syndrome,8,5.7525444,0.67154545
pseudoangiomatous stromal hyperplasia,3,5.634399,3.4862518
fabry disease,17,-0.15976916,3.0110974
andermann syndrome,9,5.5174527,7.523815
westphal disease,6,4.364192,0.1341714
schwartz jampel syndrome type 1,5,4.6681685,3.6972237
"nephropathy, deafness, and hyperparathyroidism",2,2.618799,7.944765
adult syndrome,8,6.302287,0.88785356
"corneal hypesthesia, familial",5,4.5754247,3.284433
spondylometaphyseal dysplasia with cone-rod dystrophy,3,6.6002054,4.694777
"x-linked intellectual disability, najm type",5,-1.6852217,0.5666574
hirschsprung's disease,8,6.0038733,0.4012728
paragangliomas 1,10,7.1611533,7.0087442
hypothalamic hamartomas,11,0.8219495,3.8694942
miller-dieker syndrome,10,2.2605202,5.5322757
feingold syndrome,16,6.922739,6.568479
kimura disease,10,6.8832088,7.8519917
carnitine-acylcarnitine translocase deficiency,9,5.5637274,7.5222993
autoimmune atrophic gastritis,11,4.1702085,3.0831523
dentatorubral-pallidoluysian atrophy,12,6.0332513,1.6086986
cleidocranial dysplasia,11,3.7540138,2.3959026
la crosse encephalitis,9,4.5888877,6.7059927
muir-torre syndrome,9,6.563682,5.3224263
autosomal dominant caf au lait spots,9,5.8933387,7.7923217
renal dysplasia megalocystis sirenomelia,12,2.4929307,1.912113
schwannomatosis,10,2.521239,2.966823
spastic ataxia charlevoix-saguenay type,8,6.224323,1.0946485
sideroblastic anemia,15,4.194299,4.5700974
kleefstra syndrome,5,4.377695,6.153673
benign recurrent intrahepatic cholestasis,8,6.4360213,0.43571746
nance-horan syndrome,1,6.161267,-0.14874022
hypoplastic left heart syndrome,6,2.4480708,4.4744835
thin basement membrane nephropathy,2,3.6312704,7.3190036
multiple endocrine neoplasia type 2b,8,6.606523,0.603562
chromosome 8q deletion,8,5.4744897,1.3459104
multiple epiphyseal dysplasia 4,3,3.6042647,1.8412039
flynn aird syndrome,16,5.346194,3.6134548
osteoglophonic dysplasia,11,1.4890552,6.4299383
cerebellar hypoplasia tapetoretinal degeneration,10,6.6269174,7.236777
moebius syndrome,2,2.5453079,7.784369
dengue fever,16,6.26454,3.7210553
"blepharophimosis, ptosis, and epicanthus inversus syndrome type 2",2,1.4733518,5.8107038
"48,xxyy syndrome",3,3.6051457,1.7288811
renal tubular acidosis with deafness,15,3.0626028,5.6765275
orofaciodigital syndrome 5,8,7.581867,0.34110004
"syndromic microphthalmia, type 3",6,-0.13696611,6.7132907
glioma,2,3.397869,7.58306
phosphoglycerate kinase deficiency,16,-0.28406364,6.565668
glycosylphosphatidylinositol deficiency,8,5.950159,-0.116707675
hypohidrotic ectodermal dysplasia,15,4.462573,4.5188355
gangliocytoma,15,3.3570955,3.7622025
citrullinemia type i,8,5.8745117,1.4622335
spinocerebellar ataxia 17,9,6.3938346,8.329233
ulna metaphyseal dysplasia syndrome,2,4.2065372,3.2972581
familial renal cell carcinoma,8,6.4681177,1.2569647
paramyotonia congenita,6,3.0250406,4.8922033
birdshot chorioretinopathy,3,7.361313,7.7365003
patent ductus venosus,9,3.8203907,6.203395
intestinal pseudo-obstruction,15,4.161111,4.646208
lung agenesis,8,5.512872,1.1089743
littoral cell angioma of the spleen,11,3.2183473,2.1785433
late-onset retinal degeneration,14,8.928987,4.5149117
"escobar syndrome, type b",3,6.2588844,5.267271
tricho-dento-osseous syndrome,12,2.411088,1.9993837
frias syndrome,16,7.140401,6.985473
hairy elbows,8,4.378206,3.7078037
kozlowski celermajer tink syndrome,8,6.8781705,0.3993585
wolff-parkinson-white syndrome,8,6.146321,-0.14462541
"taurodontism, microdontia, and dens invaginatus",11,2.9726312,3.4378371
pontocerebellar hypoplasia type 2,16,5.329951,7.91887
baraitser brett piesowicz syndrome,15,5.3791094,4.0889077
alpha-mannosidosis type 1,6,2.8471677,4.641517
harrod doman keele syndrome,5,4.10775,5.7710586
"fibular aplasia, tibial campomelia, and oligosyndactyly syndrome",15,2.716696,3.8636968
williams syndrome,16,6.1127844,4.1829524
chromosome 6p deletion,17,1.6166741,4.393084
"short stature syndrome, brussels type",5,4.6703277,2.1667361
ectodermal dysplasia skin fragility syndrome,8,6.5564537,1.0020055
johnson munson syndrome,4,6.1824822,3.646694
hypomelia mullerian duct anomalies,16,5.683406,7.823812
"infantile convulsions and paroxysmal choreoathetosis, familial",11,4.9581676,6.6992
swyer-james syndrome,9,6.3534393,7.8788214
robinow sorauf syndrome,8,6.0572047,0.93237907
"cataracts, ataxia, short stature, and mental retardation",8,7.623055,0.3098363
hirschsprung disease type 3,3,2.6290684,5.798482
ornithine translocase deficiency syndrome,8,6.36508,1.0997192
oculodentodigital dysplasia,10,6.223929,7.2208176
immunodeficiency with hyper igm type 5,9,5.7569375,7.729237
dwarfism levi type,15,3.9342916,4.3225546
congenital dyserythropoietic anemia type 2,3,6.5324574,5.1596894
sarcosinemia,10,0.4490979,4.1617947
lipedema,0,2.0675538,3.8862321
chops syndrome,9,5.714763,7.646995
2-methyl-3-hydroxybutyric aciduria,8,6.9919796,0.68554616
camptodactyly taurinuria,9,6.4053516,8.311345
klatskin tumor,14,8.071963,4.488546
stargardt macular degeneration absent or hypoplastic corpus callosum mental retardation and dysmorphic features,2,2.7050164,7.5173297
neurofaciodigitorenal syndrome,3,6.1816154,5.1773124
hurler syndrome,3,5.592924,3.018681
ectopia pupillae,9,5.8576922,7.793712
spondylocostal dysostosis 2,7,1.3477758,4.362645
amyotrophic lateral sclerosis type 6,0,1.8401762,3.0208397
dermal eccrine cylindroma,10,7.013804,6.5662847
brachydactyly type b,15,6.42442,6.574592
isolated acth deficiency,5,6.263507,3.2339008
ichthyosis hystrix gravior,0,3.0066214,4.112822
hyde forster mccarthy berry syndrome,1,6.5711703,-0.1978118
congenital myasthenic syndrome associated with acetylcholine receptor deficiency,9,3.2738843,5.876873
lymphatic filariasis,0,3.500983,3.7335577
"atrial myxoma, familial",12,5.4770823,1.2785816
ring chromosome 20,9,6.4228406,8.353972
horizontal gaze palsy with progressive scoliosis,0,1.3925035,4.395226
anemia due to adenosine triphosphatase deficiency,3,3.7566695,3.2098286
gtp cyclohydrolase i deficiency,10,4.5226674,7.2259874
bartter syndrome,9,6.4129744,8.0351305
fg syndrome 4,6,2.9471622,4.740119
zika virus infection,11,4.584275,2.046048
urachal cyst,8,6.210827,0.6942094
lethal congenital contracture syndrome 1,4,7.344145,5.2324405
"neuropathy, congenital, with arthrogryposis multiplex",16,8.020264,6.4214535
lambert eaton myasthenic syndrome,3,6.7736726,5.3161716
high molecular weight kininogen deficiency,8,5.7094755,0.043114796
thakker-donnai syndrome,10,6.8492966,7.9778285
nasopharyngeal carcinoma,3,5.7453246,4.200337
nonalcoholic steatohepatitis,8,6.4200125,0.25495422
autosomal dominant intermediate charcot-marie-tooth disease type d,8,6.62167,1.6880516
hereditary angioedema,9,2.331574,6.209061
microphthalmia mental deficiency,8,5.5228543,-0.089458905
omodysplasia 2,16,4.8534946,1.6784397
"ehlers-danlos syndrome, spondylocheirodysplastic type",8,6.074638,-0.09932625
episodic ataxia,6,2.9130712,5.0001974
partington syndrome,2,5.1362762,6.848053
insulin-like growth factor i deficiency,8,6.6083617,1.3148812
leukoencephalopathy with vanishing white matter,12,2.2860906,1.9421077
gombo syndrome,0,4.5215697,4.1778417
fraser like syndrome,9,6.095467,8.06717
axial osteomalacia,3,7.4476953,5.133092
acromegaly,3,5.5103035,2.8756495
donnai-barrow syndrome,8,5.795382,1.3850703
mantle cell lymphoma,3,5.7263627,3.525787
fibrous dysplasia,11,3.5069952,2.3611546
early infantile epileptic encephalopathy,6,2.8664138,4.8338857
charcot-marie-tooth disease type 2o,14,3.3636189,4.535559
mac dermot winter syndrome,9,6.41775,8.0181875
familial osteochondritis dissecans,1,3.5644615,0.25883523
cohen syndrome,11,0.9824446,5.1898584
aplasia cutis congenita,16,1.6056247,4.5211225
cleft palate stapes fixation oligodontia,5,4.7610116,2.8391438
hyper-igd syndrome,1,5.4154744,0.113650024
triploidy,10,4.9007826,6.356835
developmental dysphasia familial,2,3.1792405,7.4656444
chilaiditi syndrome,3,5.4503727,2.9533763
microphthalmia syndromic 5,4,5.397875,3.661125
intrahepatic cholestasis of pregnancy,11,3.5731487,1.784714
tyrosinemia type 3,4,5.915522,3.9259012
"maturity-onset diabetes of the young, type 5",15,5.122014,5.2630415
alpha-ketoglutarate dehydrogenase deficiency,1,3.4800417,0.29044282
"hypertrichosis, hyperkeratosis, mental retardation, and distinctive facial features",9,5.238443,7.9089084
meckel syndrome type 3,10,6.0602384,7.2001715
bardet-biedl syndrome 6,9,5.8026185,7.8771467
split hand split foot nystagmus,9,6.383678,8.246615
apparent mineralocorticoid excess,3,6.536006,5.2721887
kosztolanyi syndrome,16,5.036563,6.3042397
epithelial basement membrane corneal dystrophy,12,2.3546274,2.0338662
17-beta hydroxysteroid dehydrogenase 3 deficiency,15,0.60273033,7.037363
brody myopathy,6,1.0858371,6.6534467
familial progressive cardiac conduction defect,13,-0.282451,5.0293627
orofaciodigital syndrome 2,15,3.9236958,6.0300746
miller syndrome,2,2.6731675,7.97867
"dwarfism, proportionate with hip dislocation",9,6.533535,7.950462
gray platelet syndrome,0,1.414097,4.3915677
familial partial lipodystrophy associated with pparg mutations,14,9.073784,4.457648
pyruvate carboxylase deficiency,8,6.099811,0.25889143
microcephaly brain defect spasticity hypernatremia,15,4.156861,4.3137846
kallmann syndrome 6,1,3.2355587,0.86167634
"leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema",0,3.9109762,3.5652711
"palmoplantar keratoderma, epidermolytic",11,4.10307,2.2717323
bilateral frontal polymicrogyria,8,6.5704823,1.1419138
gm1 gangliosidosis type 2,1,3.5141308,-0.5342893
limited systemic sclerosis,5,6.991309,7.0011606
junctional epidermolysis bullosa,8,6.21558,-0.14577992
male pseudohermaphroditism due to defective lh molecule,8,6.211386,0.6878745
fitzsimmons-guilbert syndrome,1,3.307645,-0.38450128
hemophilia b,9,5.9382973,8.239119
myeloperoxidase deficiency,1,3.600297,-0.19092415
primrose syndrome,1,4.022237,0.17306407
charcot-marie-tooth disease type 2n,1,3.3823373,-0.4086712
young syndrome,1,3.3259556,-0.43512005
subaortic stenosis short stature syndrome,3,6.587733,5.298478
20p12.3 microdeletion syndrome,1,3.3582442,-0.43162724
hereditary sensory and autonomic neuropathy type v,5,4.867827,3.3904512
rhabdoid tumor,3,7.432024,5.261656
chiari malformation type 3,9,4.9425955,7.01199
pyogenic granuloma,8,5.582246,0.81322795
woolly hair syndrome,0,5.5291166,1.6793585
"trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina",12,2.4409876,2.891845
marshall syndrome,15,4.9163337,7.327242
cold urticaria,9,5.61612,7.525137
succinic acidemia,11,3.0751064,2.5234277
mosaic trisomy 14,9,6.114443,8.049303
nevoid basal cell carcinoma syndrome,11,4.11416,5.4076424
waardenburg syndrome type 3,10,6.7876844,7.9694333
microphthalmia syndromic 8,9,5.756641,7.872234
ppm-x syndrome,9,6.2221785,7.7022376
van bogaert-hozay syndrome,10,5.5296974,7.0546746
juvenile retinoschisis,5,4.767084,2.2102852
distal myopathy with vocal cord weakness,12,3.275942,2.2643683
freeman sheldon syndrome,13,-0.08697005,5.1235633
steatocystoma multiplex,16,6.7157884,7.0121
tetrahydrobiopterin deficiency,14,8.991472,4.4700875
meckel syndrome type 2,3,7.027558,4.307996
adenocarcinoma of the appendix,10,5.053559,7.844637
"hepatocellular carcinoma, childhood",9,6.5262694,7.3071256
macrodactyly of the hand,10,5.1461296,6.4782743
trichotillomania,5,3.9663575,6.07397
11-beta-hydroxylase deficiency,9,5.5844164,7.523101
spinocerebellar ataxia 4,1,3.353317,-0.41696864
primary spontaneous pneumothorax,13,0.24203251,4.694979
"aganglionosis, total intestinal",1,3.33751,-0.3823621
gupta patton syndrome,1,3.3557787,-0.37237838
"hypomagnesemia 2, renal",10,6.644029,2.094532
spondylocostal dysostosis 1,11,3.6574423,2.4776988
takayasu arteritis,1,3.3227105,-0.4226849
cataract anterior polar dominant,8,6.591194,0.4236457
hereditary elliptocytosis,8,5.7972355,0.9059245
chromosome 14q deletion,1,3.4276714,-0.43358663
familial hyperaldosteronism type iii,1,3.3467762,-0.4559975
florid cemento-osseous dysplasia,8,4.8451705,0.15363123
apert syndrome,1,3.3400404,-0.4059997
"coxa vara, congenital",1,3.3303623,-0.40998983
buschke lowenstein tumor,1,3.841308,-0.28146812
spondyloepimetaphyseal dysplasia shohat type,8,5.735812,0.9206278
noonan syndrome 4,4,6.478547,6.55567
pagod syndrome,1,3.3440235,-0.41928676
hepatic venoocclusive disease with immunodeficiency,5,4.8182735,2.7294767
"pheochromocytoma, childhood",1,3.3231187,-0.4507423
charcot-marie-tooth disease type 2b2,1,3.3175805,-0.4108292
hypermanganesemia with dystonia polycythemia and cirrhosis,9,6.5516253,8.328774
acromesomelic dysplasia,1,3.3620586,-0.43585202
infantile parkinsonism-dystonia,1,3.409668,0.60352427
pierson syndrome,10,7.1661654,6.47758
empty sella syndrome,1,3.4118094,-0.38705716
achondroplasia and severe combined immunodeficiency,15,7.08343,0.1930083
gardner-diamond syndrome,1,3.3303027,-0.32714063
achondrogenesis type 2,1,3.315088,-0.44551125
pearson syndrome,12,2.4628537,2.0424871
multiple pterygium syndrome escobar type,6,2.656688,6.9679623
tetrasomy x,15,3.0374267,5.6249213
"pancreatic cancer, childhood",3,7.7543144,6.2062035
radio renal syndrome,10,7.82607,6.341481
madelung disease,12,2.631831,1.8371555
bangstad syndrome,1,3.3413532,-0.4101183
fetal hydantoin syndrome,16,5.843255,4.04338
hereditary hemorrhagic telangiectasia type 4,1,3.4201553,-0.4236775
radio-ulnar synostosis type 2,1,3.3531818,-0.39695805
microcephaly deafness syndrome,15,4.7832723,4.0411325
brca1 hereditary breast and ovarian cancer syndrome,1,3.3723075,-0.37251508
logopenic progressive aphasia,9,3.128974,7.3218904
baraitser-winter syndrome,1,3.5903974,0.19562176
sakati syndrome,1,3.8514607,0.77856934
omenn syndrome,15,5.564984,3.9132392
"maturity-onset diabetes of the young, type 6",3,7.310049,5.4863777
albright's hereditary osteodystrophy,14,8.983547,4.456421
moyamoya disease,0,3.682557,3.4633405
hypertryptophanemia,10,5.1150227,6.4178286
amelogenesis imperfecta nephrocalcinosis,3,5.5621552,2.8911927
charcot-marie-tooth disease type 2b,9,7.073408,7.1468406
cataract microcornea syndrome,4,6.982894,6.5959244
"alaninuria with microcephaly, dwarfism, enamel hypoplasia and diabetes mellitus",9,7.80242,4.907765
preaxial polydactyly type 2,8,6.9891686,0.24585128
lennox-gastaut syndrome,2,0.42498106,4.1957583
hypertelorism and tetralogy of fallot,13,-0.46925658,4.844053
charcot-marie-tooth disease type 2d,6,3.1334329,4.8102236
melioidosis,8,6.48169,-0.2087941
"deafness, autosomal recessive 51",10,6.4526668,8.333973
"mental retardation, x-linked, nonspecific",15,4.247575,5.6077657
landau-kleffner syndrome,8,5.866201,0.91911584
griscelli syndrome type 3,8,6.364771,0.22217612
dystonia 18,7,2.4248526,2.96851
thymic-renal-anal-lung dysplasia,5,4.8902793,4.1956644
joubert syndrome with oculorenal anomalies,9,5.5714,2.0466752
norrie disease,16,7.1107492,7.0286255
visceral steatosis,3,4.117467,6.0045776
trichodental syndrome,10,5.9137735,7.1574984
severe congenital neutropenia autosomal dominant,10,5.100231,7.1598077
shapiro syndrome,2,2.6727066,7.818432
floating-harbor syndrome,8,6.67269,0.60476655
autosomal recessive hyper ige syndrome,14,8.678685,4.6671715
severe achondroplasia with developmental delay and acanthosis nigricans,15,3.7869132,4.734842
calciphylaxis,8,6.2021894,0.6162019
acrodysplasia scoliosis,8,6.7442946,0.143702
myxopapillary ependymoma,2,-0.41931176,4.6695414
"copper deficiency, familial benign",15,4.9378133,6.2018876
frank ter haar syndrome,1,4.8169737,0.18346025
isovaleric acidemia,9,2.9332206,6.2126784
deafness with labyrinthine aplasia microtia and microdontia (lamm),8,4.9499583,0.07947605
toxocariasis,10,6.1432576,7.1500206
tracheal agenesis,3,7.368271,7.7281895
cogan-reese syndrome,3,5.699995,3.5418324
tarsal carpal coalition syndrome,10,7.0168753,6.46469
sclerosing mesenteritis,10,5.16236,6.9664454
dehydrated hereditary stomatocytosis,15,5.110959,4.771344
"mental retardation-hypotonic facies syndrome x-linked, 1",3,7.425315,5.0679245
normophosphatemic familial tumoral calcinosis,2,3.6030838,7.2811413
hair-an syndrome,8,5.5380745,0.2507135
epilepsy progressive myoclonic type 3,0,1.6825322,4.4434566
pcdh19-related female-limited epilepsy,8,5.6079965,0.63983136
neurofibroma,3,6.6121483,4.659346
reardon wilson cavanagh syndrome,8,5.756222,1.0911642
dandy-walker like malformation with atrioventricular septal defect,7,2.303238,2.9476733
optic atrophy 5,1,1.1005763,1.93839
hellp syndrome,8,5.6549478,0.98176616
trismus-pseudocamptodactyly syndrome,10,2.3230035,5.6420784
porphyria cutanea tarda,9,6.1267047,7.739936
hidradenocarcinoma,2,2.834255,7.498311
olivopontocerebellar atrophy deafness,8,6.2563787,1.5122651
homocystinuria,15,4.2967873,5.2535605
lafora disease,10,4.534761,7.304267
cone-rod dystrophy x-linked 2,0,0.45987713,3.507747
pilocytic astrocytoma,9,6.6767087,7.0991044
pulmonary alveolar proteinosis acquired,16,6.4269266,6.5735836
q fever,15,4.582076,5.0281773
neonatal hemochromatosis,10,4.7222867,3.9823563
dihydropyrimidine dehydrogenase deficiency,14,8.867571,4.5508738
"bile acid synthesis defect, congenital, 4",12,2.3694,3.775646
osteopetrosis autosomal dominant type 2,8,6.61468,0.88636607
x-linked charcot-marie-tooth disease type 4,3,5.5079923,2.8891413
choroideremia,5,4.569764,3.0844119
achard syndrome,8,6.1572585,0.6914248
geroderma osteodysplastica,0,7.0448136,4.394904
juvenile huntington disease,0,2.4916062,2.8893478
immunodeficiency without anhidrotic ectodermal dysplasia,1,4.107959,1.7965285
chromosome 7q deletion,11,1.0751736,5.3579893
spina bifida occulta,8,6.154803,1.3928102
abdominal aortic aneurysm,11,4.6668,6.8587565
"thumb deformity, alopecia, pigmentation anomaly",1,5.007979,-0.25081632
multiple endocrine neoplasia type 2a,16,5.912723,4.0175424
cardiofaciocutaneous syndrome,1,6.4709353,-0.1804884
lupus nephritis,5,3.3137708,3.4416552
glomus tympanicum tumor,3,7.282921,3.9946964
ectrodactyly and ectodermal dysplasia without cleft lip/palate,3,3.6191273,1.3951335
polycystic liver disease,10,1.5036693,4.479465
acquired hemophilia a,0,5.8236423,2.0354939
carcinoid syndrome,17,-0.6214868,6.4481025
laurence prosser rocker syndrome,12,2.3852255,2.070713
mondini dysplasia,12,2.5779388,3.1243398
yorifuji okuno syndrome,0,3.2999976,3.222258
15q13.3 microdeletion syndrome,15,4.0408382,3.3727636
dermatomyositis,15,4.108693,5.2469196
ebstein's anomaly,3,5.4781427,3.311417
van regemorter pierquin vamos syndrome,5,5.947498,1.4571663
pyruvate decarboxylase deficiency,1,6.1831074,-0.050961316
congenital torticollis,15,3.8314152,4.4931345
hodgkin lymphoma,1,5.680739,0.3588451
"polyglucosan body disease, adult",11,1.6153868,5.832764
intervertebral disc disease,12,2.619922,3.3088493
brachyolmia,11,3.3595042,2.197364
fowler's syndrome,17,-0.21772961,3.2034807
catamenial pneumothorax,1,4.1713405,1.2675673
"paget disease of bone, familial",3,3.607501,1.3845184
brachydactyly type a5,8,4.7561946,0.59645396
hereditary cerebral hemorrhage with amyloidosis,8,6.0710278,0.15628877
diffuse idiopathic skeletal hyperostosis,8,6.512926,1.2784503
nuclear gene-encoded leigh syndrome,9,4.27946,4.892934
metaphyseal chondrodysplasia spahr type,16,6.6538224,3.8875592
dandy-walker cyst with renal-hepatic-pancreatic dysplasia,0,2.627799,5.720395
cor triatriatum,1,6.474717,-0.2055355
chondrocalcinosis 2,13,-0.35677606,4.730741
hirschsprung disease type d brachydactyly,12,2.3463721,3.7525568
raine syndrome,1,3.5975354,1.7067562
sturge-weber syndrome,17,1.614817,5.8802257
rhizomelic dysplasia patterson lowry type,1,0.73469454,3.7793214
progeria,10,4.995377,6.958735
"faciomandibular myoclonus, nocturnal",13,-0.17665794,4.581581
peyronie disease,17,1.2469455,4.2805257
spastic paraplegia 18,2,4.9588776,0.04347011
hereditary congenital facial paresis,10,3.4085517,6.275725
bethlem myopathy,16,6.6114283,3.7693996
emanuel syndrome,12,2.5861182,1.8423878
"cataract, autosomal recessive congenital 2",16,3.9547133,6.3346024
immunoglobulin a deficiency 2,9,6.110552,2.4745588
juvenile myoclonic epilepsy,8,6.0617976,0.2789326
hansen's disease,2,5.3383985,6.138248
pineocytoma,1,3.7384486,-0.00032891778
encephalocele,0,1.892869,5.8632884
"deafness, autosomal dominant nonsyndromic sensorineural 23",7,2.966471,5.6197076
transposition of the great arteries,11,4.1870112,2.6143258
ornithine transcarbamylase deficiency,5,5.1619987,3.618433
hydatidiform mole,8,5.9365125,0.97747755
achondroplasia,11,4.1071033,2.0438056
book syndrome,16,4.647281,6.783837
anauxetic dysplasia,8,5.653737,0.9036711
small patella syndrome,11,3.9244943,2.3534107
mecp2 duplication syndrome,0,1.4678016,3.013796
oral submucous fibrosis,2,3.5812228,7.415383
sertoli cell-only syndrome,6,3.1870909,4.767776
early infantile epileptic encephalopathy 25,5,4.095865,1.8241405
twin twin transfusion syndrome,9,3.2181988,6.463652
chondrodysplasia punctata 2 x-linked dominant,2,-0.20891583,6.704124
chang davidson carlson syndrome,1,4.1334987,1.3607631
dyssynergia cerebellaris myoclonica,11,1.3026208,6.8625565
cicatricial pemphigoid,8,5.082772,0.7843425
camptobrachydactyly,10,4.9500837,7.147478
virus associated hemophagocytic syndrome,13,0.8323454,5.402569
oculo-cerebral dysplasia,2,3.7804332,7.3415747
sialidosis type i,3,3.6253428,1.9941142
laryngeal cleft,12,2.5646522,2.1910427
iminoglycinuria,0,3.9498916,3.5955935
ataxia with oculomotor apraxia type 2,11,4.0221953,2.1482904
olivopontocerebellar atrophy,0,1.4856979,4.477355
"cervical ribs, sprengel anomaly, anal atresia, and urethral obstruction",8,6.911694,0.62402856
brown syndrome,3,7.3332605,5.2365403
barber say syndrome,8,6.7853794,0.4357382
keratosis follicularis spinulosa decalvans,12,3.1242342,3.1828396
"limb-girdle muscular dystrophy, type 2c",0,2.8516223,3.6802633
non 24 hour sleep wake disorder,0,2.8667948,5.2883716
erythromelalgia,6,2.9367204,3.9546487
gigantomastia,3,3.6476982,2.6986158
pili torti,3,3.4935396,1.3148372
pyknoachondrogenesis,8,6.075651,0.15487514
thrombocytopenia with elevated serum iga and renal disease,10,6.6891875,6.680509
merlob grunebaum reisner syndrome,8,6.4675803,1.167157
dendritic cell tumor,9,5.9677315,8.230959
medullary cystic kidney disease,8,5.2703414,1.4101068
pterygium colli mental retardation digital anomalies,0,3.7393882,1.8417966
x-linked lymphoproliferative syndrome,8,5.344417,1.3161522
ambras syndrome,12,2.1944392,1.7196821
ataxia - hypogonadism - choroidal dystrophy,15,2.904026,3.9829454
hashimoto's encephalitis,0,2.8166544,3.4315464
mosaic trisomy 9,1,4.445345,0.08961628
mucopolysaccharidosis type iv,0,5.066024,1.0048722
"microcephaly, holoprosencephaly, and intrauterine growth retardation",12,3.4092684,1.6601987
autosomal dominant intermediate charcot-marie-tooth disease type f,0,3.3654132,3.1255505
epidermolysa bullosa simplex with muscular dystrophy,5,0.3554594,4.959285
cone-rod dystrophy amelogenesis imperfecta,14,8.986136,4.496661
pityriasis lichenoides et varioliformis acuta,0,3.1688404,2.9877546
pellagra like syndrome,1,4.8033085,0.09755238
rheumatic fever,5,4.9249053,1.2248267
meningoencephalocele,12,1.6231977,1.8341529
x-linked adrenal hypoplasia congenita,16,5.85781,3.7672067
schizencephaly,0,3.2536526,2.9337435
cleft palate x-linked,3,3.7750506,3.0903378
vertebral fusion posterior lumbosacral blepharoptosis,17,-0.4006639,6.4072847
wolfram syndrome,12,6.7229276,4.3703337
hemangiopericytoma,12,2.7660391,2.4814909
focal dermal hypoplasia,5,4.679185,3.1975
homocarnosinosis,12,2.793673,2.933432
hypohidrotic ectodermal dysplasia with hypothyroidism and ciliary dyskinesia,1,5.33779,0.5098377
biotin-thiamine-responsive basal ganglia disease,8,7.100689,0.20922093
chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature,15,5.4199166,4.1548996
mnire's disease,0,3.731229,3.424385
eosinophilic fasciitis,8,6.57396,1.2688606
madokoro ohdo sonoda syndrome,6,0.5729221,5.573274
myotonia congenita autosomal dominant,5,4.792932,3.274452
progressive pseudorheumatoid arthropathy of childhood,3,6.6635876,5.22852
autosomal recessive charcot-marie-tooth disease with hoarseness,8,5.503278,1.2165344
conductive deafness with malformed external ear,11,4.1513796,2.9044116
chromosome 8p deletion,8,7.082092,0.3454325
monomelic amyotrophy,6,3.2187922,4.879538
palant cleft palate syndrome,12,3.2179914,1.4698141
optic atrophy polyneuropathy deafness,3,3.846603,2.994546
corneal dystrophy thiel behnke type,8,6.5251994,0.7602688
mutiple parosteal osteochondromatous proliferations,11,5.143177,2.7567265
ectodermal dysplasia mental retardation syndactyly,12,3.1273155,3.0299454
pityriasis lichenoides chronica,3,7.3079815,5.190207
osteogenesis imperfecta type vi,8,5.967899,0.82077456
autosomal recessive spastic ataxia 4,6,2.7318888,4.639437
fountain syndrome,15,3.092773,3.8869913
mitochondrial genetic disorders,11,1.4325131,6.6118493
neonatal progeroid syndrome,3,6.778188,4.499191
hypophosphatasia,1,3.8487635,1.2034254
kapur toriello syndrome,12,6.926737,4.3100677
